Table 6 27: Total Cost Estimate for Stream Reservation Proposals,,,,,,
No,GND No.,Scheme,Problem to be addressed / Recommendation,N,E,Estimated Cost
62,997,Tathabe kadura 350m,Erosion in both sides Needs 100m long leader drain and 600 sq.m mixed areca nut betel mixed vegetation,7.219179,80.71632,"245,000"
63,997,Welikada thenna kadura 1km,"Erosion in both sides Needs 100m long leader drain and 100 sq.m mixed areca nut betel mixed vegetation and 50 sq.m dense Kumbuk, Mee, Kekuna, etc potential vegetation",7.224883,80.719931,"280,000"
64,999,Kuwul lida oya,"Erosion in both sides -500m Erosion in both sides needs 400 sq.m mixed areca nut betel mixed vegetation and 200sq.m dense Kumbuk, Mee, Kekuna, etc potential vegetation",7.239,80.732535,"260,000"
65,999,Lunu ella kadura,"Erosion in both sides -500m Erosion in both sides needs 400 sq.m mixed areca nut betel mixed vegetation and 200sq.m dense Kumbuk, Mee, Kekuna, etc  potential vegetation",7.239829/7.238652,80.722278/80.723213,"260,000"
66,999,Kuwul lida lunu ella,"Erosion in both sides -500m Erosion in both sides needs 400 sq.m mixed areca nut betel mixed vegetation and 50 sq.m dense Kumbuk, Mee, Kekuna, etc potential vegetation",7.23902,80.722538,"120,000"
67,999,Mala kadura,"Erosion in both sides -500m Erosion in both sides needs 300 sq.m mixed areca nut betel mixed vegetation and 150 sq.m dense Kumbuk, Mee, Kekuna, etc potential vegetation",7.23452,80.726075,"200,000"
68,999,Bolepa 4th mile  Mala kadura,"Erosion in both sides -300m Erosion in both sides needs 300 sq.m areca nut betel mixed vegetation and 200sq.m dense Kumbuk, Mee, Kekuna, etc potential vegetation",7.23343,80.727297,"230,000"
69,999,Galkanda watta stream,"Erosion in both sides needs 100m leader drain and 200m long mixed areca nut betel, Vetiver grass mixed vegetation ",7.23115,80.727945,"225,000"
70,999,6th kadura,"Erosion in both sides needs 100m leader drain and 200m long mixed areca nut betel, Vetiver grass mixed vegetation",7.23218,80.728175,"225,000"
71,999,Bolepa Irrigation canal,"Canal spilling to private lands and fields, debris inflow, erosion about 250m length.",7.23122,80.725806,"110,000"
72,999,Bolepa egodawatta kadura,"Erosion in both sides intermittently -1km Erosion in both sides needs mixed areca nut betel mixed vegetation and dense Kumbuk, Mee, Kekuna, etc  potential vegetation",7.22851,80.772568,"510,000"
73,999,Kadura 9 - Bolepa oya,"Erosion in both sides intermittently  -5km. Needs 800 sqm mixed areca nut betel mixed vegetation and dense Kumbuk, Mee, Kekuna, etc  potential vegetation",7.22851,80.72259,"320,000"
74,999,Kadura 10 - ,"Erosion in both sides needs 100m leader drain and 200m long mixed areca nut betel, Vetiver grass mixed vegetation",7.22902,80.723418,"225,000"
,,Total cost ,,,LKR,"29,314,000"
